region,n_trials
Denmark,12
USA,11
UK,8
Australia,5
Netherlands,4
Spain,3
Taiwan,3
China,3
Belgium,2
Canada,2
Italy,1
New Zealand,1
Belgium and Spain,1
"Europe (Belgium, Greece, UK, Switzerland, Netherlands)",1
Germany,1
"France, Germany, Italy, Spain",1
Sweden,1
Korea,1
Norway,1
Greece,1
"Norway, Australia, Denmark",1
