model,n_original,n_influential,n_after,original_beta,refit_beta,beta_change,refit_ci_lower,refit_ci_upper,refit_p,excluded_cov_nr
H1,64,6,58,-0.05474806201549058,0.015509709245214644,0.07025777126070523,-0.08203664843275765,0.11305606692318693,0.751281530227458,"4104,4106,4108,4123,4345,4736"
H2a,59,1,58,-0.12517184945864546,-0.11406078431188094,0.01111106514676452,-0.2886832849836803,0.060561716359918416,0.1960533066458968,2125
H2b,49,1,48,0.17232568171358584,0.03124158730368204,-0.1410840944099038,-0.5956237406326303,0.6581069152399943,0.9205276002617803,2793
H3,64,5,59,0.04702683014523827,0.17144752544669783,0.12442069530145956,-0.11116582300468608,0.45406087389808175,0.22936315868937732,"770,4106,4123,4345,4736"
