hypothesis,predictor,outcome,beta,ci_lower,ci_upper,raw_p,n
H1,publication_year,equity_score,-0.05474806201549058,-0.1684041287885194,0.058908004757538254,0.339336614905746,64
H2a_age,publication_year,age_mean,-0.12517184945864546,-0.32586704952014056,0.07552335060284968,0.21679917910647872,59
H2b_fev1,publication_year,fev1_pct_mean,0.17232568171358584,-0.4435400869595274,0.7881914503866991,0.5761743981262883,49
H3,equity_score (adj. year),digital_inclusiveness_score,0.04702683014523827,-0.20039466858038146,0.294448328870858,0.7052181816598249,64
