cov_nr,arm,n,time_total_days,diagnosis,gender_pct_female,age_mean,age_sd,age_se,fev1_pct_mean,fev1_pct_sd,age_other,healthcare_setting,health_literacy,digital_literacy,ses,educational_level,ethnicity
1952,treat1,47,300,COPD,46.8,70.2,9.06,,46.6,15.6,,3,"yes, zie studie",,"Living alone 19 (40.4%)
Married or living with a partner 28 (59.6%) 17","Elementary school 17 (36.1%)
High school 3 (6.4%)
Higher education 6 (12.8%)
Skilled(a) 21 (44.7%)
Years of education (unadjusted mean, SD) 11.09 (2.23)",
2003,control,67,154,COPD,58.0,68.2,9.4,,33.7,8.4,,3,,,,,
2003,treat1,67,154,COPD,52.0,68.4,8.7,,32.6,10.3,,3,,,,,
2125,control,53,180,COPD,28.0,79.0,9.6,,62.0,21.0,,3,,,,,
2125,treat1,53,180,COPD,19.0,81.4,7.8,,62.0,23.0,,3,,,,,
2172,control,15,30,COPD,40.0,68.0,6.0,,48.0,18.0,,3,,,,,
2172,treat1,12,30,COPD,47.0,66.0,7.0,,38.0,17.0,,3,,,,,
2391,control,28,180,COPD,60.7,,,,,,"< 60 5 R1:(17.9)
60–70 R1:8 (28.6)
70–80 R1:9 (32.1)
> 80 R1:6 (21.4)",2,,,"Spouse [n (%)]
Living alone 20 (71.4)
Living with spouse 8 (28.6)",,
2391,treat1,29,180,COPD,62.1,,,,,,"< 60 5 R2:5 (17.2)
60–70 R2:8 (27.6)
70–80 R2:10 (34.5)
> 80 R2:6 (20.7)",3,,,"Spouse [n (%)]
Living alone 15 (51.7)
Living with spouse 14 (48.3)",,
2430,control,25,270,COPD,26.67,69.1,9.2,,52.6,17.5,,3,,,,,
2430,treat1,27,270,COPD,18.75,64.1,10.9,,50.2,15.0,,3,,,,,
2667,control,162,365,COPD,30.2,66.6,9.6,,36.4,12.3,,3,,,"Living with partner n(%) 114 (70.8)
Urban residence n(%) 107 (66.5)",,
2667,treat1,157,365,COPD,30.6,67.3,8.9,,37.8,12.4,,3,,,"Living with partner n(%) 111 (71.2)
Urban residence n(%) 100 (63.7)",,
2793,control,19,90,COPD,50.0,65.0,8.2,,31.1,10.2,,3,,,Lives alone 30%,,"Ethnicity N (%)
White 19 (95%)
Black  1 (5%)
Native American 0 (0%)"
2793,treat1,19,90,COPD,55.0,66.6,9.1,,33.6,9.1,,3,,,Lives alone 15%,,"Ethnicity N (%)
White 17 (85%)
Black 2 (10%)
Native American 1 (5%)"
2815,control,53,730,COPD,56.7,70.0,7.8,,40.2,15.1,,3,,,"Civil status, n (%)
Widow/widower 15 (15.6)
Single 7 (7.3)
Divorced 6 (6.2)
Married/Partner 68 (70.8)",,
2815,treat1,56,730,COPD,65.3,69.0,8.3,,38.7,14.1,,3,,,"Civil status, n (%)
Widow/widower 18 (17.8)
Single 14 (13.9)
Divorced 16 (15.8)
Married/Partner 53 (52.5)",,
2821,control,56,60,COPD,58.9,69.6,9.16,,49.9,18.04,,3,"Health literacy level, n (%)
Inadequate health literacy 14 (25%) 
Marginal health literacy 13 (23.2%)
Adequate health literacy 29 (51.8%)
Health literacy score, unadjusted mean (SD)  71.4 (20.79)",,"Civil status
Living alone 24 (40%) 33 (58.9%)
Married or living with a partner 36 (60%) 23 (41.1%)
","Educational level
Elementary school 14 (25%)
High school 1 (1.8%)
Higher education 10 (17.9%)
Skilled 31 (55.4%)

Years of education (unadjusted mean, SD) 11.6 (2.44)",
2821,treat1,60,60,COPD,45.0,70.1,8.37,,47.5,15.47,,3,"Health literacy level, n (%)
Inadequate health literacy 14 (23.3%)
Marginal health literacy 12 (20%)
Adequate health literacy 34 (56.7%)
Health literacy score, unadjusted mean (SD)  71.3 (17.37)",,"Civil status
Living alone 24 (40%)
Married or living with a partner 36 (60%)  ","Educational level
Elementary school 21 (35%)
High school 4 (6.7%)
Higher education 8 (13.3%)
Skilled 27 (45%)

Years of education (unadjusted mean, SD) 11.2 (2.35)",
3048,control,20,365,COPD,50.0,,,,40.0,15.0,median:73 range (63-79)  -> IQR,3,,Regular Internet users (%) 20,"Proportion living alone (%) 30
Managerial or professional occupations (%) 25",,
3048,treat1,20,365,COPD,50.0,,,,38.0,16.0,median:70 range (61-73) -> IQR,3,,"Regular Internet users (%) 15
","Proportion living alone (%) 20
Managerial or professional occupations (%) 25",,
3089,control,49,365,COPD,26.0,64.8,9.3,,47.4,11.5,,3,,,"Single
Yes 2 (4%)
No 48 (96%)","Education (year, SD) 9.2±2.7",
3089,treat1,47,365,COPD,18.0,65.9,8.9,,48.7,11.2,,3,,,"Single 
Yes 4 (8%)
No 46 (92%)",Education (year) 8.6±3.2,
3089,treat2,44,365,COPD,24.0,65.6,8.8,,50.4,11.4,,2,,,"Single 
Yes 7 (14%) 
No 43 (86%)",Education (year)8.5±2.9,
3116,control,316,365,COPD,56.3,70.3,9.1,,48.4,18.9,,3,,,"Marital status (%)  
Married/in a  relationship 54.3 (n=351)
Single 22.1 (n=143)
Widow/widower 16.5 (n=107)
Missing (%) 7.1 (n=46)","NA (wel onderdeel van MCS, individuele scores niet gerapporteerd, ook niet in supps)",
3116,treat1,258,365,COPD,51.7,69.6,9.4,,47.7,18.1,,3,,,"Marital status (%)  
Married/in a  relationship 55.9 (n=323)
Single 20.4 (n=118)
Widow/widower 16.8 (n=97)
Missing (%) 6.9 (n=40)","NA (wel onderdeel van MCS, individuele scores niet gerapporteerd, ook niet in supps)",
3162,control,24,365,COPD,0.0,72.8,,1.3,46.0,,,3,,,,,
