variable,weighted_mean,weighted_ci_lo,weighted_ci_hi,unweighted_mean,unweighted_ci_lo,unweighted_ci_hi,difference,n_trials
age_mean,69.7873022947926,68.3510624635494,71.2235421260358,68.39827442157745,67.59185772149065,69.20469112166425,1.3890278732151415,59
gender_pct_female,46.036645001095444,41.031540458945955,51.04174954324493,40.42138328882514,36.01989922371229,44.822867353937994,5.6152617122703035,61
fev1_pct_mean,47.51078899545684,45.38600847264533,49.635569518268355,48.161590325542896,45.56775941843986,50.75542123264593,0.650801330086054,49
bmi_mean,26.46234685277851,25.593508631003914,27.331185074553105,26.533292167503838,25.724266493938863,27.342317841068812,0.0709453147253285,32
