variable,trial_level_weighted,trial_ci_lo,trial_ci_hi,arm_level_simple,arm_ci_lo,arm_ci_hi,difference,n_trials,n_arms
age_mean,69.7873022947926,68.3510624635494,71.2235421260358,68.3535564516129,67.76958505657026,68.93752784665554,1.4337458431796932,59,124
gender_pct_female,46.036645001095444,41.031540458945955,51.04174954324493,40.510546875,37.384896121003315,43.63619762899669,5.526098126095441,61,128
fev1_pct_mean,47.51078899545684,45.38600847264533,49.635569518268355,48.18320588235293,46.39721925884978,49.96919250585608,0.6724168868960874,49,102
bmi_mean,26.46234685277851,25.593508631003914,27.331185074553105,26.474782608695648,25.917323175090086,27.03224204230121,0.012435755917138636,32,69
